id,userId,DisasterType,Location,Severity,Comments,reportedTime,status
1,1,Fire,kent street,High,fire from smoking,9/4/2024 18:32,Inactive
2,2,Earthquake,sydney,Critical,asfasfafas,9/4/2024 18:36,Inactive
3,1,Hurricane,circular quay,Medium,helppp,9/4/2024 19:22,Active
4,1,Flood,canterbury,Critical,helppp,9/4/2024 19:42,Active
5,2,Fire,qewrerqefwfeqwe,Medium,qwrfewgefqwqfqwwwwwwwww,9/4/2024 22:52,Active
6,2,Hurricane,sadsdwda,High,dwcdvsawdwdvdw,9/4/2024 22:53,Active
7,10,Earthquake,narwee,High,asdsfasafdsvfewefvsfewfvsfsfeewfsvfeqwfdvssdaewdas x,9/9/2024 19:03,Active
8,10,Fire,asddvdfeefdsdfad,High,awfdsvcsdaewfdsdweda,9/9/2024 19:05,Help on board
9,10,Fire,sadsfbdsfadsv,Medium,safdsvfsdasAFDSVFAWWADS,9/9/2024 19:13,Active
10,1,Fire,roshanasniasas,High,asfaugshioanciahoslqaca,9/9/2024 19:15,Active
11,10,Fire,mewmew,Medium,mewmewmewmemwemweme,9/9/2024 19:22,Active
12,10,Fire,mewmew,Medium,mewmewmemw,9/9/2024 19:24,Active
13,10,Fire,ramram,Medium,ramramramramra,9/9/2024 19:30,Active
15,2,Fire,raarararara,Medium,rararararararar,9/9/2024 19:58,Active
16,2,Fire,narwee,Medium,sdddddddddddddd,9/9/2024 20:20,Active
17,1,Earthquake,roror,Critical,rorororororor,9/9/2024 20:40,Active
18,10,Earthquake,candle bha,High,candleaaaaaa,9/9/2024 20:54,Active
19,1,Medical,randwick,Critical,accident at randwick m1 highway.help needed soon,9/9/2024 23:31,Active
20,1,Medical,townhall,Critical,Accident of bike and van,9/10/2024 15:14,Under control
21,1,Flood,Canterbury,Medium,in the river,9/11/2024 0:08,Active
22,1,Flood,New York,Critical,Severe flooding,9/11/2024 17:21,Active
23,1,Hurricane,kent street CQU University,Medium,LADO HARAYO ROSHAN KO,2024-10-08 15:01:03,Active
24,1,Hurricane,DeeWhy,Medium,There was a hurricane at DeeWhy today. It was a medium level one.,2024-10-08 15:27:18,Active
